
:/media/pau/bidea/s004_forward/server/built/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/lib-surgery-dto                                   |7.3.4                |7.3.4        |✓         |
@ikusi/forward-data-access                               |5.2.0                |5.2.1-next.0 |✕         |
@ikusi/lib-bidea-core-integration                        |4.3.0                |4.3.0        |✓         |
@ikusi/lib-bidea-core-integration-kafka-js               |1.2.1                |1.2.1        |✓         |
@ikusi/lib-common-dto                                    |6.3.1                |7.1.2        |✕         |
@ikusi/lib-rtls-dto                                      |1.0.6                |1.0.6        |✓         |
@ikusi/lib-bidea-core-message-builder                    |1.6.4                |1.6.4        |✓         |
config                                                   |3.3.6                |1.0.0        |✕         |

forward-frontend:/media/pau/bidea/forward_frontend/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/forward-api-typescript-fetch                             |10.0.1-next.0        |9.2.3-next.0 |✕         |

:/media/pau/bidea/s004_forward/server/dist/package.json |versionInPackageJson |localVersion |Check     |
@ikusi/lib-bidea-core-integration-kafka-js              |1.2.0                |1.2.1        |✕         |
@ikusi/lib-surgery-dto                                  |7.1.0                |7.3.4        |✕         |
@ikusi/lib-bidea-core-integration                       |4.2.0                |4.3.0        |✕         |
@ikusi/lib-common-dto                                   |7.0.1                |7.1.2        |✕         |
@ikusi/forward-data-access                              |5.2.1-next.0         |5.2.1-next.0 |✓         |
config                                                  |3.3.6                |1.0.0        |✕         |
@ikusi/lib-bidea-core-message-builder                   |1.6.4                |1.6.4        |✓         |
@ikusi/lib-rtls-dto                                     |1.0.6                |1.0.6        |✓         |
34.848769ms
